tempo	vel	tempo	pos	tempo	in	tempo	esf
4906	-0,102539	4906	4,11133	4906	4	4906	-0,0898323
4907	-0,102539	4907	4,11133	4907	4	4907	-0,0861817
4908	-0,0976563	4908	4,11133	4908	4	4908	-0,0831715
4909	-0,102539	4909	4,11133	4909	4	4909	-0,0806894
4910	-0,102539	4910	4,11133	4910	4	4910	-0,0786428
4911	-0,0976563	4911	4,11133	4911	4	4911	-0,0769552
4912	-0,102539	4912	4,11621	4912	4	4912	-0,0936216
4913	-0,0976563	4913	4,12109	4913	4	4913	-0,107895
4914	-0,0976563	4914	4,11621	4914	4	4914	-0,08408
4915	-0,102539	4915	4,11133	4915	4	4915	-0,0639118
4916	-0,102539	4916	4,11621	4916	4	4916	-0,0828664
4917	-0,102539	4917	4,11133	4917	4	4917	-0,0629112
4918	-0,0976563	4918	4,11133	4918	4	4918	-0,0639835
4919	-0,107422	4919	4,12109	4919	4	4919	-0,100983
4920	-0,102539	4920	4,11621	4920	4	4920	-0,0783809
4921	-0,102539	4921	4,11133	4921	4	4921	-0,0592125
4922	-0,102539	4922	4,11133	4922	4	4922	-0,0609338
4923	-0,131836	4923	4,11621	4923	4	4923	-0,0804109
4924	-0,102539	4924	4,11621	4924	4	4924	-0,0789443
4925	-0,0976563	4925	4,10645	4925	4	4925	-0,0416192
4926	-0,102539	4926	4,11133	4926	4	4926	-0,0639538
4927	-0,102539	4927	4,11621	4927	4	4927	-0,0829011
4928	-0,102539	4928	4,11621	4928	4	4928	-0,0809976
4929	-0,0976563	4929	4,11621	4929	4	4929	-0,079428
4930	-0,102539	4930	4,11133	4930	4	4930	-0,060076
4931	-0,0976563	4931	4,11621	4931	4	4931	-0,0797036
4932	-0,0976563	4932	4,11621	4932	4	4932	-0,078361
4933	-0,102539	4933	4,11133	4933	4	4933	-0,0591962
4934	-0,102539	4934	4,11621	4934	4	4934	-0,0789781
4935	-0,102539	4935	4,12109	4935	4	4935	-0,0958207
4936	-0,102539	4936	4,11133	4936	4	4936	-0,056066
4937	-0,102539	4937	4,11133	4937	4	4937	-0,0583393
4938	-0,102539	4938	4,11621	4938	4	4938	-0,0782716
4939	-0,0976563	4939	4,11133	4939	4	4939	-0,0591224
4940	-0,102539	4940	4,11621	4940	4	4940	-0,0789173
4941	-0,0976563	4941	4,11133	4941	4	4941	-0,0596549
4942	-0,0976563	4942	4,11133	4942	4	4942	-0,0612985
4943	-0,0976563	4943	4,11133	4943	4	4943	-0,0626538
4944	-0,0976563	4944	4,11621	4944	4	4944	-0,0818292
4945	-0,102539	4945	4,11133	4945	4	4945	-0,0620559
4946	-0,0976563	4946	4,10645	4946	4	4946	-0,0452205
4947	-0,102539	4947	4,11133	4947	4	4947	-0,0669232
4948	-0,102539	4948	4,11133	4948	4	4948	-0,0672917
4949	-0,0976563	4949	4,11133	4949	4	4949	-0,0675956
4950	-0,0927734	4950	4,11621	4950	4	4950	-0,085904
4951	-0,0976563	4951	4,11133	4951	4	4951	-0,0654158
4952	-0,102539	4952	4,11133	4952	4	4952	-0,0660487
4953	-0,0976563	4953	4,11133	4953	4	4953	-0,0665707
4954	-0,102539	4954	4,11621	4954	4	4954	-0,0850589
4955	-0,0976563	4955	4,11133	4955	4	4955	-0,064719
4956	-0,0976563	4956	4,11133	4956	4	4956	-0,0654742
4957	-0,102539	4957	4,11133	4957	4	4957	-0,0660969
4958	-0,102539	4958	4,11133	4958	4	4958	-0,0666104
4959	-0,0976563	4959	4,11133	4959	4	4959	-0,0670338
4960	-0,102539	4960	4,10645	4960	4	4960	-0,049325
4961	-0,0976563	4961	4,11133	4961	4	4961	-0,0703077
4962	-0,0976563	4962	4,11133	4962	4	4962	-0,0700824
4963	-0,102539	4963	4,11133	4963	4	4963	-0,0698967
4964	-0,102539	4964	4,11621	4964	4	4964	-0,0878014
4965	-0,0976563	4965	4,11133	4965	4	4965	-0,0669803
4966	-0,0976563	4966	4,11621	4966	4	4966	-0,0853966
4967	-0,0976563	4967	4,11133	4967	4	4967	-0,0649975
4968	-0,0976563	4968	4,11133	4968	4	4968	-0,0657038
4969	-0,0976563	4969	4,10645	4969	4	4969	-0,0482284
4970	-0,0976563	4970	4,11621	4970	4	4970	-0,0874613
4971	-0,0976563	4971	4,11133	4971	4	4971	-0,0666999
4972	-0,102539	4972	4,11133	4972	4	4972	-0,0671076
4973	-0,102539	4973	4,11133	4973	4	4973	-0,0674437
4974	-0,0976563	4974	4,11133	4974	4	4974	-0,0677209
4975	-0,102539	4975	4,11133	4975	4	4975	-0,0679495
4976	-0,102539	4976	4,11133	4976	4	4976	-0,0681379
4977	-0,102539	4977	4,11133	4977	4	4977	-0,0682933
4978	-0,102539	4978	4,11621	4978	4	4978	-0,0864793
4979	-0,102539	4979	4,11621	4979	4	4979	-0,083948
4980	-0,0976563	4980	4,11133	4980	4	4980	-0,063803
4981	-0,107422	4981	4,11133	4981	4	4981	-0,0647189
4982	-0,102539	4982	4,11621	4982	4	4982	-0,083532
4983	-0,102539	4983	4,11133	4983	4	4983	-0,0634599
4984	-0,102539	4984	4,11621	4984	4	4984	-0,0824939
4985	-0,102539	4985	4,11621	4985	4	4985	-0,0806618
4986	-0,107422	4986	4,11133	4986	4	4986	-0,0610933
4987	-0,0976563	4987	4,11621	4987	4	4987	-0,0805424
4988	-0,102539	4988	4,11133	4988	4	4988	-0,0609949
4989	-0,102539	4989	4,11133	4989	4	4989	-0,0624034
4990	-0,102539	4990	4,11133	4990	4	4990	-0,0635649
4991	-0,0976563	4991	4,11133	4991	4	4991	-0,0645226
4992	-0,102539	4992	4,11133	4992	4	4992	-0,0653122
4993	-0,0878906	4993	4,11621	4993	4	4993	-0,0840212
4994	-0,102539	4994	4,11133	4994	4	4994	-0,0638633
4995	-0,0976563	4995	4,11133	4995	4	4995	-0,0647687
4996	-0,102539	4996	4,11133	4996	4	4996	-0,0655152
4997	-0,102539	4997	4,11621	4997	4	4997	-0,0841885
4998	-0,107422	4998	4,11133	4998	4	4998	-0,0640013
4999	-0,0976563	4999	4,11133	4999	4	4999	-0,0648824
