Amostra - Velocidade C/AI0+	Amplitude - Velocidade C/AI0+	Amostra - Set-point	Amplitude - Set-point	Amostra - Esf controle	Amplitude - Esf controle
3710	1,85547	3710	2	3710	2,99078
3711	1,86035	3711	2	3711	2,88974
3712	1,88477	3712	2	3712	2,38454
3713	1,90918	3713	2	3713	1,87934
3714	1,89941	3714	2	3714	2,08142
3715	1,87012	3715	2	3715	2,68766
3716	1,86035	3716	2	3716	2,88974
3717	1,84082	3717	2	3717	3,2939
3718	1,85059	3718	2	3718	3,09182
3719	1,89941	3719	2	3719	2,08142
3720	1,89453	3720	2	3720	2,18246
3721	1,89453	3721	2	3721	2,18246
3722	1,87012	3722	2	3722	2,68766
3723	1,85059	3723	2	3723	3,09182
3724	1,85547	3724	2	3724	2,99078
3725	1,86523	3725	2	3725	2,7887
3726	1,89941	3726	2	3726	2,08142
3727	1,87988	3727	2	3727	2,48558
3728	1,86523	3728	2	3728	2,7887
3729	1,86523	3729	2	3729	2,7887
3730	1,85547	3730	2	3730	2,99078
3731	1,86523	3731	2	3731	2,7887
3732	1,87012	3732	2	3732	2,68766
3733	1,88477	3733	2	3733	2,38454
3734	1,82617	3734	2	3734	3,59702
3735	1,86035	3735	2	3735	2,88974
3736	1,89941	3736	2	3736	2,08142
3737	1,9043	3737	2	3737	1,98038
3738	1,87988	3738	2	3738	2,48558
3739	1,87012	3739	2	3739	2,68766
3740	1,87988	3740	2	3740	2,48558
3741	1,88965	3741	2	3741	2,2835
3742	1,875	3742	2	3742	2,58662
3743	1,86523	3743	2	3743	2,7887
3744	1,86523	3744	2	3744	2,7887
3745	1,85059	3745	2	3745	3,09182
3746	1,86523	3746	2	3746	2,7887
3747	1,89453	3747	2	3747	2,18246
3748	1,88477	3748	2	3748	2,38454
3749	1,86523	3749	2	3749	2,7887
3750	1,85059	3750	2	3750	3,09182
3751	1,87012	3751	2	3751	2,68766
3752	1,85547	3752	2	3752	2,99078
3753	1,88477	3753	2	3753	2,38454
3754	1,875	3754	2	3754	2,58662
3755	1,87988	3755	2	3755	2,48558
3756	1,86035	3756	2	3756	2,88974
3757	1,86035	3757	2	3757	2,88974
3758	1,875	3758	2	3758	2,58662
3759	1,87988	3759	2	3759	2,48558
3760	1,89941	3760	2	3760	2,08142
3761	1,88965	3761	2	3761	2,2835
3762	1,875	3762	2	3762	2,58662
3763	1,85547	3763	2	3763	2,99078
3764	1,85059	3764	2	3764	3,09182
3765	1,87012	3765	2	3765	2,68766
3766	1,87012	3766	2	3766	2,68766
3767	1,87988	3767	2	3767	2,48558
3768	1,90918	3768	2	3768	1,87934
3769	1,88965	3769	2	3769	2,2835
3770	1,85547	3770	2	3770	2,99078
3771	1,8457	3771	2	3771	3,19286
3772	1,85059	3772	2	3772	3,09182
3773	1,86523	3773	2	3773	2,7887
3774	1,89941	3774	2	3774	2,08142
3775	1,9043	3775	2	3775	1,98038
3776	1,89453	3776	2	3776	2,18246
3777	1,87012	3777	2	3777	2,68766
3778	1,8457	3778	2	3778	3,19286
3779	1,85547	3779	2	3779	2,99078
3780	1,88477	3780	2	3780	2,38454
3781	1,9043	3781	2	3781	1,98038
3782	1,85059	3782	2	3782	3,09182
3783	1,86523	3783	2	3783	2,7887
3784	1,87012	3784	2	3784	2,68766
3785	1,86523	3785	2	3785	2,7887
3786	1,87012	3786	2	3786	2,68766
3787	1,88965	3787	2	3787	2,2835
3788	1,88477	3788	2	3788	2,38454
3789	1,82617	3789	2	3789	3,59702
3790	1,87012	3790	2	3790	2,68766
3791	1,87988	3791	2	3791	2,48558
3792	1,9043	3792	2	3792	1,98038
3793	1,875	3793	2	3793	2,58662
3794	1,86523	3794	2	3794	2,7887
