tempo                     vel                         tempo            pos                tempo               in                    tempo         esf
                       866                   -0,605469              866            7,66602                 866                    -6           866         -1,2866
                       867                   -0,595703              867            7,60254                 867                    -6           867        -1,29163
                       868                    -0,59082              868            7,53418                 868                    -6           868         -1,2935
                       869                   -0,561523              869            7,46094                 869                    -6           869        -1,30976
                       870                   -0,556641              870            7,40234                 870                    -6           870        -1,31063
                       871                   -0,551758              871            7,32422                 871                    -6           871        -1,31152
                       872                   -0,551758              872            7,26563                 872                    -6           872        -1,30955
                       873                   -0,541992              873            7,19238                 873                    -6           873        -1,31356
                       874                   -0,537109              874            7,13379                 874                    -6           874        -1,31451
                       875                   -0,541992              875            7,06543                 875                    -6           875        -1,30969
                       876                   -0,527344              876            7,00195                 876                    -6           876        -1,31681
                       877                   -0,527344              877            6,94336                 877                    -6           877        -1,31489
                       878                   -0,532227              878            6,87988                 878                    -6           878        -1,31026
                       879                   -0,527344              879            6,78711                 879                    -6           879        -1,31177
                       880                   -0,522461              880            6,74805                 880                    -6           880        -1,31324
                       881                   -0,527344              881            6,67481                 881                    -6           881         -1,3089
                       882                   -0,541992              882            6,61133                 882                    -6           882        -1,29908
                       883                   -0,546875              883            6,54785                 883                    -6           883        -1,29569
                       884                   -0,556641              884            6,45508                 884                    -6           884        -1,28962
                       885                   -0,546875              885            6,40137                 885                    -6           885        -1,29551
                       886                   -0,566406              886            6,32813                 886                    -6           886        -1,28368
                       887                   -0,571289              887            6,26953                 887                    -6           887        -1,28125
                       888                   -0,581055              888            6,17676                 888                    -6           888        -1,27605
                       889                   -0,585938              889            6,13281                 889                    -6           889        -1,27403
                       890                   -0,581055              890            6,05469                 890                    -6           890        -1,27789
                       891                   -0,581055              891            5,99121                 891                    -6           891        -1,27858
                       892                   -0,571289              892            5,91309                 892                    -6           892          -1,285
                       893                   -0,561523              893            5,84473                 893                    -6           893          -1,291
                       894                   -0,537109              894            5,80566                 894                    -6           894        -1,30532
                       895                   -0,537109              895            5,70313                 895                    -6           895        -1,30431
                       896                   -0,512695              896            5,64941                 896                    -6           896        -1,31788
                       897                   -0,527344              897            5,58106                 897                    -6           897        -1,30751
                       898                   -0,512695              898            5,70313                 898                    -6           898         -1,3152
                       899                   -0,512695              899            5,46875                 899                    -6           899        -1,31378
                       900                   -0,522461              900            5,41016                 900                    -6           900        -1,30672
                       901                   -0,488281              901            5,32715                 901                    -6           901        -1,32618
                       902                   -0,512695              902            5,26367                 902                    -6           902        -1,30977
                       903                    -0,50293              903            5,21484                 903                    -6           903        -1,31469
                       904                   -0,498047              904            5,14648                 904                    -6           904        -1,31645
                       905                   -0,507813              905            5,07324                 905                    -6           905        -1,30947
                       906                    -0,50293              906            5,03418                 906                    -6           906        -1,31164
                       907                   -0,498047              907            4,96582                 907                    -6           907         -1,3137
                       908                   -0,507813              908            4,89746                 908                    -6           908        -1,30699
                       909                   -0,517578              909             4,8291                 909                    -6           909        -1,30073
                       910                   -0,527344              910            4,77539                 910                    -6           910        -1,29485
                       911                   -0,522461              911            4,70703                 911                    -6           911        -1,29802
                       912                   -0,537109              912            4,63379                 912                    -6           912        -1,28941
                       913                   -0,546875              913            4,57031                 913                    -6           913         -1,2842
                       914                   -0,537109              914            4,49707                 914                    -6           914        -1,29086
                       915                   -0,566406              915            4,42871                 915                    -6           915        -1,27394
                       916                   -0,571289              916            4,36523                 916                    -6           916        -1,27248
                       917                   -0,556641              917            4,29199                 917                    -6           917        -1,28263
                       918                   -0,556641              918            4,21387                 918                    -6           918        -1,28343
                       919                   -0,551758              919            4,17481                 919                    -6           919        -1,28704
                       920                   -0,537109              920             4,0918                 920                    -6           920         -1,2962
                       921                   -0,517578              921            4,01856                 921                    -6           921        -1,30768
                       922                   -0,507813              922            3,95508                 922                    -6           922        -1,31269
                       923                   -0,498047              923             3,9209                 923                    -6           923        -1,31743
                       924                   -0,512695              924            3,84766                 924                    -6           924        -1,30745
                       925                   -0,493164              925            3,78418                 925                    -6           925        -1,31839
                       926                   -0,493164              926            3,73535                 926                    -6           926        -1,31712
                       927                   -0,498047              927            3,66699                 927                    -6           927        -1,31308
                       928                   -0,488281              928            3,59863                 928                    -6           928        -1,31801
                       929                   -0,473633              929            3,55469                 929                    -6           929        -1,32558
                       930                   -0,493164              930            3,48633                 930                    -6           930        -1,31247
                       931                   -0,483398              931            3,42285                 931                    -6           931        -1,31758
                       932                   -0,488281              932            3,35449                 932                    -6           932        -1,31373
                       933                   -0,478516              933            3,30566                 933                    -6           933        -1,31882
                       934                   -0,483398              934            3,25195                 934                    -6           934        -1,31496
                       935                   -0,498047              935            3,17871                 935                    -6           935        -1,30558
                       936                   -0,498047              936            3,12012                 936                    -6           936        -1,30548
                       937                   -0,488281              937            3,06641                 937                    -6           937        -1,31117
                       938                   -0,517578              938            3,00781                 938                    -6           938        -1,29337
                       939                   -0,517578              939            2,93457                 939                    -6           939        -1,29402
                       940                   -0,527344              940            2,87109                 940                    -6           940        -1,28882
                       941                   -0,551758              941            2,79785                 941                    -6           941        -1,27522
                       942                   -0,541992              942            2,72949                 942                    -6           942        -1,28266
                       943                   -0,537109              943            2,66113                 943                    -6           943         -1,2867
                       944                   -0,551758              944            2,60254                 944                    -6           944        -1,27887
                       945                   -0,556641              945            2,53906                 945                    -6           945        -1,27727
                       946                   -0,541992              946            2,48535                 946                    -6           946        -1,28729
                       947                   -0,532227              947            2,41699                 947                    -6           947        -1,29376
                       948                    -0,50293              948            2,36328                 948                    -6           948        -1,31139
                       949                   -0,517578              949            2,28516                 949                    -6           949         -1,3019
                       950                   -0,483398              950             2,2168                 950                    -6           950        -1,32196
                       951                    -0,50293              951            2,16797                 951                    -6           951        -1,30899
                       952                   -0,493164              952            2,09961                 952                    -6           952        -1,31421
